idx,maximum_speed,speed_limit,average_speed,vehicle_class_1,vehicle_class_2,vehicle_class_3,vehicle_class_4,vehicle_class_5,vehicle_class_6,vehicle_class_7,vehicle_class_8,vehicle_class_9,vehicle_class_10,vehicle_class_11,vehicle_class_12,vehicle_class_13,bike,motorcycle,StrType
13994,18,40,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
38536,34,50,17,261,1,22,7,0,2,0,1,1,0,0,0,0,7,11,Arterial
10290,37,50,24,5,0,1,0,0,0,0,0,0,0,0,0,0,2,1,Council Minor
10537,41,50,31,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
13705,24,40,15,21,0,1,0,0,0,0,0,0,0,0,0,0,10,1,Council Minor
20810,69,60,42,770,0,26,1,0,1,0,0,1,0,0,0,0,0,5,Arterial
10172,41,50,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
13769,23,40,14,32,0,0,0,0,0,0,0,0,0,0,0,0,17,0,Council Minor
15506,30,50,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
14012,20,40,14,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
15958,27,40,16,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Council Minor
20849,64,60,42,1028,3,25,2,0,1,0,0,0,0,0,0,0,3,16,Arterial
21056,68,60,49,207,1,7,3,4,0,0,0,0,4,0,0,0,1,8,Arterial
13780,27,40,20,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
40522,80,50,52,539,2,4,0,0,0,0,0,0,0,0,0,0,8,4,Arterial
38333,57,50,35,163,1,11,1,1,0,0,0,0,0,0,0,0,3,2,Arterial
47163,23,20,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
11758,62,50,40,486,5,20,5,1,1,0,0,0,0,0,0,2,10,2,Arterial
11751,88,50,47,128,0,1,0,0,1,0,0,0,0,0,0,4,3,1,Arterial
10679,52,50,32,51,0,7,0,0,0,2,0,0,0,0,0,0,0,0,Council Minor
38526,65,50,42,131,0,10,3,2,1,0,0,0,0,0,0,0,1,0,Arterial
8436,65,50,34,6,1,2,0,0,0,0,0,0,0,0,0,0,1,3,Council Minor
15582,33,50,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
15898,34,40,18,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Council Minor
40503,74,50,53,453,0,5,4,0,0,0,0,0,0,0,0,0,5,7,Arterial
20938,76,60,52,179,2,16,3,2,0,0,0,1,1,0,0,0,8,2,Arterial
38455,65,50,41,356,0,20,8,1,0,0,0,1,0,0,0,0,12,4,Arterial
13616,22,40,16,40,0,1,0,0,0,0,0,0,0,0,0,0,16,1,Council Minor
